created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 28 23:59:50 +0000 2024;1,76299E+18;Hisoka;0;0;0;0;qst;1,33904E+18;1,76299E+18;Beberuruang;https://twitter.com/Beberuruang/status/1762991028616003856
Wed Feb 28 23:59:31 +0000 2024;1,76299E+18;Cara nurunin panas gimana sih woy ini udah 9 hari ga turun-turun;0;0;0;0;in;1,46053E+18;1,76299E+18;privaullll;https://twitter.com/privaullll/status/1762990949163298861
Wed Feb 28 23:59:00 +0000 2024;1,76299E+18;@urfavabegail panas gini;0;0;0;0;in;1,14377E+18;1,76289E+18;ceeraunophile;https://twitter.com/ceeraunophile/status/1762990819798339863
Wed Feb 28 23:58:50 +0000 2024;1,76299E+18;@SenahDebab Tengah pukau;0;0;0;0;in;1,33904E+18;1,76299E+18;Beberuruang;https://twitter.com/Beberuruang/status/1762990774223044892
Wed Feb 28 23:58:30 +0000 2024;1,76299E+18;Apakah kamu tidak tahu ada teknologi yang namanya payung atau topi??  Drpd JPO diatapin, mendingan bus stop yg diatepin.  Kejemur kalau panas, tapi kalau diatepin juga jadi sempit banget. Trotoar kita aja sempit2. 😔😔;0;0;0;0;in;110022231;1,76299E+18;amsalfoje;https://twitter.com/amsalfoje/status/1762990692014739901
Wed Feb 28 23:58:04 +0000 2024;1,76299E+18;@RasyidiRasyid @501Awani Betul. Sebab tu bank babi.;0;0;0;1;in;1,33904E+18;1,76278E+18;Beberuruang;https://twitter.com/Beberuruang/status/1762990581532574021
Wed Feb 28 23:57:30 +0000 2024;1,76299E+18;@heiapeni Literally orang jatuh pastu splat;0;1;0;0;in;1,33904E+18;1,76289E+18;Beberuruang;https://twitter.com/Beberuruang/status/1762990440243232837
Wed Feb 28 23:57:26 +0000 2024;1,76299E+18;@FOODFESS2 mungkin apinya kegedean kak jadi minyaknya jadi cepet panas;0;0;0;0;in;1,35497E+18;1,76298E+18;berisaya01;https://twitter.com/berisaya01/status/1762990421838561624
Wed Feb 28 23:57:15 +0000 2024;1,76299E+18;@Caro_Antu_Kuyen ja ja ja ja Joder, simplemente joderlos... son panas;0;0;0;0;es;125386560;1,76299E+18;MissNemesis_;https://twitter.com/MissNemesis_/status/1762990379492593835
Wed Feb 28 23:56:41 +0000 2024;1,76299E+18;@sukaeesteh disini panas bgt;0;0;0;0;in;1,14377E+18;1,76289E+18;ceeraunophile;https://twitter.com/ceeraunophile/status/1762990235129119098
Wed Feb 28 23:56:06 +0000 2024;1,76299E+18;selang seling hujan-panas di mks di??;0;0;0;1;in;2515359048;1,76299E+18;MakassarFess;https://twitter.com/MakassarFess/status/1762990090257920344
Wed Feb 28 23:55:32 +0000 2024;1,76299E+18;"Dari tadi liat orang komplain soal JPO ga pake atep nanti jadi kepanasan dan keujanan"".   Kalau ga mau kepanasan jangan jadi pejalan kaki. Di rumah aja. Udah banyak yg jelasin kenapanya tapi alesannya manja banget ""nanti kepanasan keujanan"" 🫠🫠  Indonesia dr dlu panas dan ujan.""";0;4;1;3;in;110022231;1,76299E+18;amsalfoje;https://twitter.com/amsalfoje/status/1762989947580305909
